"word" "sentiment" "n"
"569" "remorseful" "negative" 2
"570" "reprove" "negative" 2
"571" "resounding" "positive" 2
"572" "revengeful" "negative" 2
"573" "revolt" "negative" 2
"574" "richer" "positive" 2
"575" "ridiculous" "negative" 2
"576" "righteous" "positive" 2
"577" "rightly" "positive" 2
"578" "rogue" "negative" 2
"579" "rust" "negative" 2
"580" "sadness" "negative" 2
"581" "satisfied" "positive" 2
"582" "scar" "negative" 2
"583" "servitude" "negative" 2
"584" "shady" "negative" 2
"585" "shallow" "negative" 2
"586" "shameless" "negative" 2
"587" "sharper" "positive" 2
"588" "shun" "negative" 2
"589" "siege" "negative" 2
"590" "silly" "negative" 2
"591" "slander" "negative" 2
"592" "slaughter" "negative" 2
"593" "slave" "negative" 2
"594" "sloth" "negative" 2
"595" "slow" "negative" 2
"596" "sly" "negative" 2
"597" "smart" "positive" 2
"598" "sore" "negative" 2
"599" "sour" "negative" 2
"600" "spoil" "negative" 2
"601" "steal" "negative" 2
"602" "stiff" "negative" 2
"603" "stormy" "negative" 2
"604" "strict" "negative" 2
"605" "stuck" "negative" 2
"606" "stumbled" "negative" 2
"607" "suffice" "positive" 2
"608" "sunder" "negative" 2
"609" "sunk" "negative" 2
"610" "superfluous" "negative" 2
"611" "supreme" "positive" 2
"612" "suspicious" "negative" 2
"613" "tempest" "negative" 2
"614" "terrible" "negative" 2
"615" "threat" "negative" 2
"616" "thrifty" "positive" 2
"617" "toil" "negative" 2
"618" "torment" "negative" 2
"619" "tough" "positive" 2
"620" "traitor" "negative" 2
"621" "treasure" "positive" 2
"622" "triumph" "positive" 2
"623" "trivial" "negative" 2
"624" "trouble" "negative" 2
"625" "trumpet" "positive" 2
"626" "tumble" "negative" 2
"627" "tumbled" "negative" 2
"628" "tyrant" "negative" 2
"629" "unable" "negative" 2
"630" "uncouth" "negative" 2
"631" "unequal" "negative" 2
"632" "unhappy" "negative" 2
"633" "useful" "positive" 2
"634" "utterly" "negative" 2
"635" "vainly" "negative" 2
"636" "vent" "negative" 2
"637" "vex" "negative" 2
"638" "violate" "negative" 2
"639" "vulgar" "negative" 2
"640" "wanton" "negative" 2
"641" "wealthy" "positive" 2
"642" "weed" "negative" 2
"643" "wholesome" "positive" 2
"644" "willing" "positive" 2
"645" "wins" "positive" 2
"646" "wrinkled" "negative" 2
"647" "abolish" "negative" 1
