"battle-pieces" "chapman-iliad" "chapman-odyssey" "confidence-man" "hawthorne-and-his-mosses" "israel-potter" "milton-complete" "moby-dick" "piazza-tales" "pierre" "shakespeare-complete"
"on" 0.703789384510117 0.478829476417938 0.405838297588843 0.419031737378272 0.297492562685933 0.702307362751698 0.624995591171056 0.496810569879219 0.525757102716204 0.412957097984639 0.346916694801035
"your" 0.192238767065263 0.151880536103511 0.419717856329912 0.374135479802029 0.141663125088539 0.260113838056185 0.0973469430943631 0.11670361499993 0.142366531376834 0.100800551476565 0.771856416363835
"her" 0.286729008504122 0.461438575337383 0.710078225193065 0.104757934344568 0.226661000141663 0.218801640247261 0.438061243924634 0.155604819999906 0.186075554167968 0.64902548628137 0.468271078844462
"at" 0.413802091818448 0.371585586421184 0.341992327379928 0.52378967172284 0.495820937809888 0.820123630577147 0.376690345017318 0.617732387830953 0.756790508897908 0.530015802925167 0.279394211675009
"thou" 0.0423576944381089 0.339122571070816 0.203196739969243 0.0064137510823205 0 0 0.610887338548684 0.127014777771008 0.00374648766781143 0.270535673640331 0.590290054257239
"what" 0.231338177315825 0.157097806427677 0.204862287018171 0.411549027782232 0.283326250177079 0.257053675255524 0.482502239685104 0.264809407529961 0.257258819856385 0.219810234832769 0.511070763030643
"will" 0.12381479912678 0.296225015072114 0.264821980779587 0.281136089108382 0.297492562685933 0.159128465634372 0.233491580900248 0.182320105361336 0.173587261941929 0.209405016615833 0.564503909126435
"now" 0.260662735003747 0.325209850206372 0.29369146296101 0.400859442645031 0.354157812721349 0.367219536079319 0.376690345017318 0.366514967590141 0.31470496409616 0.603502656582276 0.310364169486749
"no" 0.303020429441856 0.217965960209618 0.260380521982445 0.405135276699911 0.552486187845304 0.278474814860151 0.270878450349532 0.274651881084172 0.309709647205745 0.307604263538164 0.432117308351787
"which" 0.361669544817699 0.404628298474238 0.487450102986326 0.38268714791179 0.410823062756764 0.292245547463125 0.344946776616982 0.303710612529938 0.453325007805183 0.431816556002835 0.263576937084464
"their" 0.547391743507869 0.810415990353847 0.727844060381632 0.141102523811051 0.212494687632809 0.237162617051227 0.174236919886287 0.290587314457656 0.330939743990009 0.264032412254746 0.224631882840517
"or" 0.329086702942231 0.252747762370728 0.342547509729571 0.39016985750783 0.53831987533645 0.266234163657507 0.847200569973406 0.334175411626305 0.375897596003747 0.293947414628436 0.265969466014127
"thy" 0.0130331367501874 0.519987942308584 0.426935226875267 0.0138964606783611 0 0 0.697653092176268 0.0529618815059922 0 0.178189361965025 0.406995754590333
