"Var1" "Freq"
"790" "trust" 3
"791" "Two" 3
"792" "Ulysses'" 3
"793" "vast" 3
"794" "veins" 3
"795" "vex'd" 3
"796" "vows" 3
"797" "voyage" 3
"798" "want" 3
"799" "war," 3
"800" "wars" 3
"801" "Was" 3
"802" "waves" 3
"803" "went" 3
"804" "went," 3
"805" "were," 3
"806" "Who" 3
"807" "wife" 3
"808" "wind" 3
"809" "wisdom" 3
"810" "wit" 3
"811" "woe" 3
"812" "woman" 3
"813" "wondrous" 3
"814" "word" 3
"815" "words," 3
"816" "work" 3
"817" "wound" 3
"818" "wrath" 3
"819" "wretch," 3
"820" "Your" 3
"821" "?" 2
"822" "'gainst" 2
"823" "'Tis" 2
"824" "'Twixt" 2
"825" "\"And" 2
"826" "\"Deiphobus," 2
"827" "\"My" 2
"828" "\"Now" 2
"829" "\"Why" 2
"830" "(being" 2
"831" "(for" 2
"832" "(in" 2
"833" "(seeing" 2
"834" "(The" 2
"835" "about," 2
"836" "achieved" 2
"837" "Achilles" 2
"838" "acts" 2
"839" "address'd" 2
"840" "advance" 2
"841" "advance," 2
"842" "advice" 2
"843" "again;" 2
"844" "again." 2
"845" "Against" 2
"846" "age" 2
"847" "aged" 2
"848" "Alexander" 2
"849" "all;" 2
"850" "aloft" 2
"851" "alone" 2
"852" "along" 2
"853" "Amids" 2
"854" "anger" 2
"855" "angry" 2
"856" "Apollo" 2
"857" "appear'd" 2
"858" "appearance" 2
"859" "applause" 2
"860" "armour" 2
"861" "arriv'd," 2
"862" "as," 2
"863" "ask" 2
"864" "ass" 2
"865" "assured," 2
"866" "Atrides" 2
"867" "attempt," 2
"868" "Authority" 2
"869" "authors" 2
"870" "back," 2
"871" "bad" 2
"872" "bands" 2
"873" "base" 2
"874" "base," 2
"875" "beams" 2
"876" "Bears" 2
"877" "because" 2
"878" "Before" 2
"879" "beheld" 2
"880" "behind" 2
"881" "bend" 2
"882" "beneath," 2
"883" "benefit" 2
"884" "besides," 2
"885" "best;" 2
"886" "bestow'd" 2
"887" "betwixt" 2
"888" "big" 2
"889" "birds" 2
"890" "birth," 2
"891" "blessed" 2
"892" "blew" 2
"893" "Blew" 2
"894" "blood," 2
"895" "bloody" 2
"896" "blown" 2
"897" "blows" 2
"898" "boarded," 2
"899" "Bold" 2
"900" "bones" 2
"901" "born," 2
"902" "bosom" 2
"903" "bosom," 2
"904" "both," 2
"905" "both;" 2
"906" "bow," 2
"907" "brave:" 2
"908" "brazen" 2
"909" "bread" 2
"910" "break" 2
"911" "breaks" 2
"912" "breast," 2
"913" "breath" 2
"914" "breath'd" 2
"915" "breathe" 2
"916" "brings" 2
"917" "broke," 2
"918" "brother" 2
"919" "burning" 2
"920" "Calypso" 2
"921" "can," 2
"922" "careful" 2
"923" "cause" 2
"924" "cave," 2
"925" "centre" 2
"926" "challenge" 2
"927" "chance" 2
"928" "check" 2
"929" "cheer" 2
"930" "chief" 2
"931" "circumference," 2
"932" "city" 2
"933" "city," 2
"934" "cloudy" 2
"935" "coach" 2
"936" "coast," 2
"937" "cold" 2
"938" "comes," 2
"939" "comfort" 2
"940" "commands" 2
"941" "common" 2
"942" "conceal'd" 2
"943" "conceit" 2
"944" "concrete" 2
"945" "constant" 2
"946" "contention;" 2
"947" "corn" 2
"948" "Could" 2
"949" "counsel" 2
"950" "counsels" 2
"951" "counsels," 2
"952" "country" 2
"953" "country," 2
"954" "cruel" 2
"955" "curb" 2
"956" "curious" 2
"957" "curiously" 2
"958" "cut" 2
"959" "d" 2
"960" "dance" 2
"961" "dare" 2
"962" "darkness" 2
"963" "darts," 2
"964" "daughter," 2
"965" "daughters" 2
"966" "days" 2
"967" "dead," 2
"968" "dead." 2
"969" "dearest" 2
"970" "Death" 2
"971" "death." 2
"972" "deed" 2
"973" "deeds," 2
"974" "deep" 2
"975" "deeps," 2
"976" "degree," 2
"977" "delight," 2
"978" "delighted" 2
"979" "desert," 2
"980" "design" 2
"981" "destroy" 2
"982" "dinner" 2
"983" "Diomed." 2
"984" "dismal" 2
"985" "distinguish'd" 2
"986" "distress," 2
"987" "does," 2
"988" "dog" 2
"989" "dog's" 2
"990" "done" 2
"991" "done," 2
"992" "down." 2
"993" "draws" 2
"994" "dread," 2
"995" "drink," 2
"996" "drops" 2
"997" "durst" 2
"998" "Each" 2
"999" "earth;" 2
"1000" "Earth;" 2
"1001" "earth." 2
"1002" "earth's" 2
"1003" "embrace." 2
"1004" "eminent" 2
"1005" "empty" 2
"1006" "enough" 2
"1007" "entrails" 2
"1008" "entry" 2
"1009" "Eumaeus" 2
"1010" "evenly" 2
"1011" "exceed" 2
"1012" "exhal'd" 2
"1013" "eyes," 2
"1014" "fair," 2
"1015" "falling" 2
"1016" "fame" 2
"1017" "fast," 2
"1018" "Fate's" 2
"1019" "father" 2
"1020" "Fear" 2
"1021" "feasts" 2
"1022" "fed," 2
"1023" "feed" 2
"1024" "feign" 2
"1025" "fell," 2
"1026" "felt" 2
"1027" "fervent" 2
"1028" "fetch" 2
"1029" "few" 2
"1030" "few," 2
"1031" "fights" 2
"1032" "fire," 2
"1033" "firm" 2
"1034" "First" 2
"1035" "fix'd" 2
"1036" "fixed" 2
"1037" "fled" 2
"1038" "flew," 2
"1039" "flight," 2
"1040" "flock" 2
"1041" "flood" 2
"1042" "flows" 2
"1043" "follow'd" 2
